العيار,سعر البيع,سعر الشراء,,الاثنين - 21/09/2026 03:48 PM,,,,,,,,,,,,,,,,,,,,,العيار,سعر البيع,سعر الشراء
عيار 24,7٬275,7٬215,,,,,,,,,,,,,,,,,,,,,,,عيار 24,7٬275 جنيه,7٬215 جنيه
عيار 21,6٬365,6٬315,,,,,,,,,,,,,,,,,,,,,,,عيار 21,6٬365 جنيه,6٬315 جنيه
عيار 18,5٬455,5٬415,,,,,,,,,,,,,,,,,,,,,,,عيار 18,5٬455 جنيه,5٬415 جنيه
عيار 14,4٬245,4٬210,,,,,,,,,,,,,,,,,,,,,,,عيار 14,4٬245 جنيه,4٬210 جنيه
الجنيه الذهب,50٬920,50٬520,,,,,,,,,,,,,,,,,,,,,,,الجنيه الذهب,50٬920 جنيه,50٬520 جنيه
دولار البنك,51٫92,,,,,,,,,,,,,,,,,,,,,,,,الأونصة بالجنيه,226٬255 جنيه,224٬480 جنيه
,,,,,,,,,,,,,,,,,,,,,,,,,الأونصة بالدولار,4٬355.02 دولار,
,,,,,,,,,,,,,,,,,,,,,,,,,دولار الصاغة,51.95 جنيه مقابل 51.90 جنيه في البنك,
,,,,,,,,,,,,,,,,,,,,,,,,,نصاب الزكاة 85 جرام × عيار 24٬618,375 جنيه,
# Last Update: Mon Sep 21 13:00:16 2026
